45,APSA Colombia,\N,,ABO,AEROEXPRESO,Colombia,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
46,Aerovias Bueno,\N,,ABU,AEROBUENO,Colombia,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
47,Aerocenter,\N,,ACR, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
48,Antrak Air,\N,4,ABV,ANTRAK,Ghana,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
49,Airborne Express,\N,GB,ABX,ABEX,United States,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
50,ABX Air,\N,GB,ABX,ABEX,United States,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
51,ATA Brasil,\N,,ABZ,ATA-BRAZIL,Brazil,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
52,Avcard Services,\N,,ACC,,United Kingdom,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
53,Academy Airlines,\N,,ACD,ACADEMY,United States,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
54,Aero Comondu,\N,,ACO,AERO COMONDU,Mexico,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
55,Astral Aviation,\N,8V,ACP,ASTRAL CARGO,Kenya,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
56,Air Cess,\N,,ACS,,Liberia,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
57,Air Aurora,\N,,AAI,BOREALIS,United States,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
58,Air Cargo Transportation System,\N,,ACU,AFRISPIRIT,Kenya,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
59,Air Charter Service,\N,,ACV,,United Kingdom,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
60,Aero Asia International,\N,E4,RSO,AERO ASIA,Pakistan,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
61,Air Charters,\N,,ACX,PARAIR,Canada,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
62,Air Togo,\N,YT,TGA,AIR TOGO,Togo,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
63,Air Somalia,\N,,RSM,AIR SOMALIA,Somali Republic,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
64,Atlas Cargo Lines,\N,,ACY,ATLAS CARGOLINES,Morocco,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
65,Airservices Australia,\N,,ADA,AUSCAL,Australia,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
66,Advance Leasing Company,\N,4G,,,United States,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
67,Aztec Worldwide Airlines,\N,7A,,,United States,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
68,Air Tindi,\N,8T,,,Canadian Territories,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
69,Antonov Airlines,\N,,ADB,ANTONOV BUREAU,Ukraine,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
70,Air Atlantic Dominicana,\N,,ADC,ATLAN-DOMINICAN,Dominican Republic,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
71,Advanced Air Co.,\N,,ADD,,Japan,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
72,Ada Air,\N,ZY,ADE,ADA AIR,Albania,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
73,Aerea Flying Training Organization,\N,,ADG,AEREA TRAINING,Spain,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
74,Audeli Air,\N,,ADI,AUDELI,Spain,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
75,Abicar,\N,,ADJ,ABICAR,Ivory Coast,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
76,ADC Airlines,\N,Z7,ADK,ADCO,Nigeria,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
77,Aero Dynamics,\N,,ADL,COTSWOLD,United Kingdom,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
78,Aerolineas Dominicanas,\N,,ADM,DOMINAIR,Dominican Republic,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
79,Aerodienst GmbH,\N,,ADN,AERODIENST,Germany,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
80,Aerodiplomatic,\N,,ADP,AERODIPLOMATIC,Mexico,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
81,Aerodyne,\N,,ADY,AERODYNE,United States,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
82,Avion Taxi,\N,,ADQ,AIR DATA,Canada,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
83,Adria Airways,\N,JP,ADR,ADRIA,Slovenia,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
84,Aviones de Sonora,\N,,ADS,SONORAV,Mexico,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
85,Air Dorval,\N,,ADT,AIR DORVAL,Canada,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
86,Airdeal Oy,\N,,ADU,AIRDEAL,Finland,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
87,Advance Air Charters,\N,,ADV,ADVANCE,Canada,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
88,Air Andaman,\N,,ADW,AIR ANDAMAN,Thailand,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
89,Anderson Aviation,\N,,ADX,ANDAX,United States,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
90,Air Europa,\N,UX,AEA,EUROPA,Spain,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
91,Air Southwest Ltd.,\N,,ASW,AIRSOUTHWEST,Canada,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
92,Air Special,\N,,ASX,AIRSPEC,Czech Republic,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
93,Aero Benin,\N,EM,AEB,AEROBEN,Benin,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
94,Aerocesar,\N,,AEC, Aerovias Del Cesar,AEROCESAR,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
95,Aerotrans Airlines,\N,,AED,,Russia,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
96,Aegean Airlines,\N,A3,AEE,AEGEAN,Greece,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
97,Aerofumigaciones Sam,\N,,AEG,FUMIGACIONES SAM,Chile,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
98,Aeroexpreso Interamericano,\N,,AEI,INTERAM,Colombia,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
99,Air Express,\N,,AEJ,KHAKI EXPRESS,Tanzania,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
100,Aerocon,\N,,AEK,AEROCON,Bolivia,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
101,Aero Madrid,\N,,AEM,AEROMADRID,Spain,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
102,Aeroenlaces Nacionales,\N,,AEN,,Mexico,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
103,Aeroservicios Ejecutivos Del Occidente,\N,,AEO,AERO OCCIDENTE,Mexico,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
104,Aerotec,\N,,AEP,AEROTEC,Spain,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
105,Air Atlantique,\N,KI,AAG,ATLANTIC,United Kingdom,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
106,Air Europe,\N,PE,AEL,AIR EUROPE,Italy,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
107,Air Alma,\N,,AAJ,AIR ALMA,Canada,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
108,Air Express,\N,,AEQ,LUNA,Sweden,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
109,Alaska Central Express,\N,KO,AER,ACE AIR,United States,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
110,ACES Colombia,\N,,AES,ACES,Colombia,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
111,Aeronautical Radio of Thailand,\N,,AET,AEROTHAI,Thailand,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
112,Astraeus,\N,5W,AEU,FLYSTAR,United Kingdom,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
113,Aeroventas,\N,,AEV,AEROVENTAS,Mexico,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
114,Aerosvit Airlines,\N,VV,AEW,AEROSVIT,Ukraine,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
115,Airway Express,\N,,AEX,AVCO,United States,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
116,Air Italy,\N,I9,AEY,AIR ITALY,Italy,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
117,Aerial Transit Company,\N,,AEZ,AERIAL TRANZ,United States,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
118,Alfa Air,\N,,AFA,BLUE ALFA,Czech Republic,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
119,American Falcon,\N,WK,AFB,AMERICAN FALCON,Argentina,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
120,Alliance Airlines,\N,QQ,UTY,UNITY,Australia,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
121,Air Universal,\N,,UVS,UNI-LEONE,Sierra Leone,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
122,Auvia Air,\N,,UVT,AUVIA,Indonesia,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
123,African West Air,\N,,AFC,AFRICAN WEST,Senegal,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
124,Airfast Indonesia,\N,,AFE,AIRFAST,Indonesia,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
125,Ariana Afghan Airlines,\N,FG,AFG,ARIANA,Afghanistan,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
126,Air Fecteau,\N,,AFH,FECTO,Canada,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
127,Africaone,\N,,AFI,AFRICAWORLD,Uganda,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
128,Alliance,\N,,AFJ,JAMBO,Uganda,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
129,Africa Air Links,\N,,AFK,AFRICA LINKS,Sierra Leone,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
130,Aeroflot Russian Airlines,\N,SU,AFL,AEROFLOT,Russia,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
131,Aero Empresa Mexicana,\N,,AFO,AERO EMPRESA,Mexico,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
132,Air Bosna,\N,JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
133,Air Bravo,\N,,BRF,AIR BRAVO,Uganda,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
134,Air Brasd'or,\N,,BRL,BRASD'OR,Canada,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
135,Air 500,\N,,BRM,BOOMERANG,Canada,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
136,Alba Servizi Aerotrasporti,\N,,AFQ,ALBA,Italy,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
137,Air France,\N,AF,AFR,AIRFRANS,France,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
138,Air Partner,\N,,ACG,AIR PARTNER,United Kingdom,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
139,Air Caledonie International,\N,SB,ACI,AIRCALIN,France,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
140,Air Caledonia,\N,,ACM,WEST CAL,Canada,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
141,Air Guam,\N,,AGM,AIR GUAM,United States,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
142,Air Gabon,\N,GN,AGN,GOLF NOVEMBER,Gabon,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
143,Air Data,\N,,AFS,,United Kingdom,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
144,Air Afrique Vacancies,\N,,AFV,AFRIQUE VACANCE,Ivory Coast,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
145,Air Cargo America,\N,,MVM,PEGASUS,United States,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
146,Air Salone,\N,2O,,,Sierra Leone,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
147,Air-Angol,\N,,NGO,AIR ANGOL,Angola,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
148,Air Nigeria,\N,,NGP,REGAL EAGLE,Nigeria,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
149,Air Cargo Carriers,\N,2Q,SNC,NIGHT CARGO,United States,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
150,Air Samarkand,\N,,SND,ARSAM,Uzbekistan,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
151,Air Senegal International,\N,V7,SNG,AIR SENEGAL,Senegal,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
152,Air Sandy,\N,,SNY,AIR SANDY,Canada,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
153,Air Namibia,\N,SW,NMB,NAMIBIA,Namibia,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
154,Air Intersalonika,\N,,NSK,INTERSALONIKA,Greece,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
155,Air Anatolia,\N,,NTL,AIR ANATOLIA,Turkey,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
156,Air Saigon,\N,,SGA,AIR SAIGON,Vietnam,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
157,Afrique Regional Airways,\N,,AFW,AFRAIR,Ivory Coast,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
158,Airfreight Express,\N,,AFX, ,United Kingdom,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
159,Africa Chartered Services,\N,,AFY,AFRICA CHARTERED,Nigeria,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
160,Africa Freight Services,\N,,AFZ,AFREIGHT,Zambia,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
161,Aeronaves Del Centro,\N,,AGA,,Venezuela,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
162,Air Service Gabon,\N,G8,AGB,,Gabon,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
163,Arab Agricultural Aviation Company,\N,,AGC,AGRICO,Egypt,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
164,Atlantic Gulf Airlines,\N,,AGF,ATLANTIC GULF,United States,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
165,Aerolitoral,\N,5D,SLI,COSTERA,Mexico,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
166,Algoma Airways,\N,,AGG,ALGOMA,Canada,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
167,Altagna,\N,,AGH,ALTAGNA,France,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
168,Angola Air Charter,\N,,AGO,ANGOLA CHARTER,Angola,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
169,Angola Air Charter,\N,,AGO,ANGOLA CHARTER,Angola,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
170,AERFI Group,\N,,AGP,AIR TARA,Ireland,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
171,Aerogala,\N,,AGQ,GALASERVICE,Chile,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
172,Amadeus Global Travel Distribution,\N,1A,AGT,AMADEUS,Spain,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
173,Angara Airlines,\N,,AGU,SARMA,Russia,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
174,Air Glaciers,\N,7T,AGV,AIR GLACIERS,Switzerland,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
175,Aero Gambia,\N,,AGW,AERO GAMBIA,Gambia,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
176,Aviogenex,\N,,AGX,GENEX,Serbia,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
177,Atlantic Coast Airlines,\N,,BLR,BLUE RIDGE,United States,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
178,Aero Barloz,\N,,BLZ,AEROLOZ,Mexico,N,0,2016-02-15 01:34:09,2016-02-15 01:34:09
179,Aeroper,\N,PL,PLI,Aeroperu,Peru,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
180,Atlas Blue,\N,8A,BMM,ATLAS BLUE,Morocco,Y,0,2016-02-15 01:34:09,2016-02-15 01:34:09
